source,pageType,url,httpStatus,finalUrl,app404,robotsMeta,xRobotsTag,canonical,canonicalSelf,title,titleChars,metaDescription,descriptionChars,h1Count,h1,h2Count,h3Count,mainWordsApprox,mainImageCount,imagesWithoutAlt,imagesEmptyAlt,firstImageStatus,ogTitle,ogDescription,ogImage,ogImageStatus,twitterCard,schemaTypes,productHasOffers,productHasReview,productHasAggregateRating,internalLinkCount,inboundPageCount,notes
"sitemap","static","https://demo-web-client.shop","200","https://demo-web-client.shop/","false","","","https://demo-web-client.shop","true","TOÀN TÂM | Thiết bị y tế chính hãng","35","Thiết bị y tế cho gia đình, bệnh viện và phòng khám. Khám phá sản phẩm chăm sóc sức khỏe và nhận tư vấn lựa chọn từ Toàn Tâm Medical.","133","1","Thiết bị y tế cho gia đình và cơ sở y tế","8","27","931","31","0","4","200","TOÀN TÂM | Thiết bị y tế chính hãng","Thiết bị y tế cho gia đình, bệnh viện và phòng khám. Khám phá sản phẩm chăm sóc sức khỏe và nhận tư vấn lựa chọn từ Toàn Tâm Medical.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","40","68",""
"sitemap","static","https://demo-web-client.shop/products","200","https://demo-web-client.shop/products","false","","","https://demo-web-client.shop/products","true","Tất cả sản phẩm | TOÀN TÂM","26","Tìm kiếm, lọc và so sánh thiết bị chăm sóc sức khỏe cho gia đình, phòng khám và bệnh viện tại Toàn Tâm Medical.","111","1","Tất cả sản phẩm","1","12","402","12","0","0","200","Tất cả sản phẩm","Tìm kiếm, lọc và so sánh thiết bị chăm sóc sức khỏe cho gia đình, phòng khám và bệnh viện tại Toàn Tâm Medical.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","28","47",""
"sitemap","static","https://demo-web-client.shop/collections","200","https://demo-web-client.shop/collections","false","","","https://demo-web-client.shop/collections","true","Danh mục sản phẩm | TOÀN TÂM","28","Khám phá các nhóm thiết bị chăm sóc sức khỏe, hỗ trợ vận động và đồ dùng sinh hoạt tại Toàn Tâm Medical.","104","1","Chọn sản phẩm theo nhu cầu","8","0","330","0","0","0","","Danh mục sản phẩm","Khám phá các nhóm thiết bị chăm sóc sức khỏe, hỗ trợ vận động và đồ dùng sinh hoạt tại Toàn Tâm Medical.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","8","1",""
"sitemap","static","https://demo-web-client.shop/blogs","200","https://demo-web-client.shop/blogs","false","","","https://demo-web-client.shop/blogs","true","Tin tức - Kiến thức | TOÀN TÂM","30","Đọc hướng dẫn lựa chọn thiết bị hỗ trợ, chăm sóc tại nhà và phục hồi chức năng từ Toàn Tâm Medical.","99","1","Kiến thức & tư vấn","5","0","124","5","0","0","200","Tin tức - Kiến thức","Đọc hướng dẫn lựa chọn thiết bị hỗ trợ, chăm sóc tại nhà và phục hồi chức năng từ Toàn Tâm Medical.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","6","6",""
"sitemap","static","https://demo-web-client.shop/contact","200","https://demo-web-client.shop/contact","false","","","https://demo-web-client.shop/contact","true","Liên hệ | TOÀN TÂM","18","Liên hệ Toàn Tâm Medical để được tư vấn thiết bị y tế cho gia đình, phòng khám hoặc bệnh viện.","94","1","Liên hệ Toàn Tâm","0","0","62","0","0","0","","Liên hệ","Liên hệ Toàn Tâm Medical để được tư vấn thiết bị y tế cho gia đình, phòng khám hoặc bệnh viện.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","1","1",""
"sitemap","static","https://demo-web-client.shop/request-quote","200","https://demo-web-client.shop/request-quote","false","","","https://demo-web-client.shop/request-quote","true","Yêu cầu báo giá | TOÀN TÂM","26","Gửi nhu cầu thiết bị y tế và nhận tư vấn, báo giá phù hợp từ Toàn Tâm Medical.","78","1","Yêu cầu báo giá","0","0","62","0","0","0","","Yêu cầu báo giá","Gửi nhu cầu thiết bị y tế và nhận tư vấn, báo giá phù hợp từ Toàn Tâm Medical.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","1","58",""
"sitemap","product","https://demo-web-client.shop/products/nep-co-inh-ban-chan-ban-em-nep-chinh-ban-chan-giam-au-got-chan-1736539331283944506","200","https://demo-web-client.shop/products/nep-co-inh-ban-chan-ban-em-nep-chinh-ban-chan-giam-au-got-chan-1736539331283944506","false","","","https://demo-web-client.shop/products/nep-co-inh-ban-chan-ban-em-nep-chinh-ban-chan-giam-au-got-chan-1736539331283944506","true","Nẹp Cố Định Bàn Chân Ban Đêm – Nẹp Chỉnh Bàn Chân, Giảm Đau Gót Chân | TOÀN TÂM","79","Nẹp Cố Định Bàn Chân Ban Đêm – Nẹp Chỉnh Bàn Chân, Giảm Đau Gót Chân. Xem hình ảnh, giá tham khảo và thông tin sản phẩm tại Toàn Tâm Medical.","141","1","Nẹp Cố Định Bàn Chân Ban Đêm – Nẹp Chỉnh Bàn Chân, Giảm Đau Gót Chân","2","10","962","17","0","0","200","Nẹp Cố Định Bàn Chân Ban Đêm – Nẹp Chỉnh Bàn Chân, Giảm Đau Gót Chân","Nẹp Cố Định Bàn Chân Ban Đêm – Nẹp Chỉnh Bàn Chân, Giảm Đau Gót Chân. Xem hình ảnh, giá tham khảo và thông tin sản phẩm tại Toàn Tâm Medical.","https://cdn.shopify.com/s/files/1/0732/3703/7299/files/09e120cd44d94a659c420ca6d8e023b1_tplv-aphluv4xwc-crop-webp_1254_1254.webp?v=1790134677","200","true","Product | BreadcrumbList","true","false","false","23","48",""
"sitemap","product","https://demo-web-client.shop/products/quan-ta-vay-chong-tham-nuoc-tieu-cho-nguoi-lon-1734759449589482554","200","https://demo-web-client.shop/products/quan-ta-vay-chong-tham-nuoc-tieu-cho-nguoi-lon-1734759449589482554","false","","","https://demo-web-client.shop/products/quan-ta-vay-chong-tham-nuoc-tieu-cho-nguoi-lon-1734759449589482554","true","Quần tã váy chống thấm nước tiểu cho người lớn | TOÀN TÂM","57","Quần tã váy chống thấm nước tiểu cho người lớn. Xem hình ảnh, giá tham khảo và thông tin sản phẩm tại Toàn Tâm Medical.","119","1","Quần tã váy chống thấm nước tiểu cho người lớn","2","10","678","21","0","0","200","Quần tã váy chống thấm nước tiểu cho người lớn","Quần tã váy chống thấm nước tiểu cho người lớn. Xem hình ảnh, giá tham khảo và thông tin sản phẩm tại Toàn Tâm Medical.","https://cdn.shopify.com/s/files/1/0732/3703/7299/files/068dea9c4d774a8ba2923c81d4c0f554_tplv-aphluv4xwc-crop-webp_584_570.webp?v=1790134022","200","true","Product | BreadcrumbList","true","false","false","23","43",""
"sitemap","product","https://demo-web-client.shop/products/may-tap-chan-bang-ien-phuc-hoi-chuc-nang-tay-co-man-hinh-led-ieu-khien-1736534023864681530","200","https://demo-web-client.shop/products/may-tap-chan-bang-ien-phuc-hoi-chuc-nang-tay-co-man-hinh-led-ieu-khien-1736534023864681530","false","","","https://demo-web-client.shop/products/may-tap-chan-bang-ien-phuc-hoi-chuc-nang-tay-co-man-hinh-led-ieu-khien-1736534023864681530","true","Máy tập chân bằng điện phục hồi chức năng tay có màn hình Led điều khiển | TOÀN TÂM","83","Máy tập chân bằng điện phục hồi chức năng tay có màn hình Led điều khiển. Xem hình ảnh, giá tham khảo và thông tin sản phẩm tại Toàn Tâm Medical.","145","1","Máy tập chân bằng điện phục hồi chức năng tay có màn hình Led điều khiển","2","10","722","20","0","0","200","Máy tập chân bằng điện phục hồi chức năng tay có màn hình Led điều khiển","Máy tập chân bằng điện phục hồi chức năng tay có màn hình Led điều khiển. Xem hình ảnh, giá tham khảo và thông tin sản phẩm tại Toàn Tâm Medical.","https://cdn.shopify.com/s/files/1/0732/3703/7299/files/4180f4034e2d44d1b302355b91205f37_tplv-aphluv4xwc-crop-webp_1369_1149.webp?v=1790134019","200","true","Product | BreadcrumbList","true","false","false","23","44",""
"sitemap","product","https://demo-web-client.shop/products/gang-tay-co-inh-kiem-soat-an-toan-bao-ve-chong-tray-xuoc-cho-benh-nhan-1736535649923662906","200","https://demo-web-client.shop/products/gang-tay-co-inh-kiem-soat-an-toan-bao-ve-chong-tray-xuoc-cho-benh-nhan-1736535649923662906","false","","","https://demo-web-client.shop/products/gang-tay-co-inh-kiem-soat-an-toan-bao-ve-chong-tray-xuoc-cho-benh-nhan-1736535649923662906","true","Găng tay cố định kiểm soát an toàn bảo vệ chống trầy xước cho bệnh nhân | TOÀN TÂM","82","Găng tay cố định kiểm soát an toàn bảo vệ chống trầy xước cho bệnh nhân. Xem hình ảnh, giá tham khảo và thông tin sản phẩm tại Toàn Tâm Medical.","144","1","Găng tay cố định kiểm soát an toàn bảo vệ chống trầy xước cho bệnh nhân","2","10","548","19","0","0","200","Găng tay cố định kiểm soát an toàn bảo vệ chống trầy xước cho bệnh nhân","Găng tay cố định kiểm soát an toàn bảo vệ chống trầy xước cho bệnh nhân. Xem hình ảnh, giá tham khảo và thông tin sản phẩm tại Toàn Tâm Medical.","https://cdn.shopify.com/s/files/1/0732/3703/7299/files/8d62a54c8fc54103b127729de038bbd5_tplv-aphluv4xwc-crop-webp_1370_1148.webp?v=1790134017","200","true","Product | BreadcrumbList","true","false","false","23","46",""
